import_offset,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,keywords,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
10,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,2.0,6.5,,,1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],,Hackney South and Shoreditch,N1 3HT,42585,http://www.beerintheevening.com/pubs/s/42/42585/Hunter_S/London,
11,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,,,,,1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],,Hackney South and Shoreditch,N1 3HT,42574,http://www.beerintheevening.com/pubs/s/42/42574/Hunter_S/London,
12,"19 -23 Oxford Street, London, W1D 2DN",West End,6.0,4.8,,like: 2;basically: 2;club: 2;dont: 2;expensive: 1;astoria: 1;nights: 1;manages: 1;overpriced: 1;beer: 1;possibly: 1;small: 1;place: 1;bigger: 1;fair: 1,1498830859,51.5161956498829,-0.131284014012088,The Metro Club,[],Tottenham Court Road;Goodge Street;Leicester Square,Cities of London and Westminster,W1D 2DN,31002,http://www.beerintheevening.com/pubs/s/31/31002/Metro_Club/London,
13,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,,,,,1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],Dalston Kingsland;Canonbury;Highbury and Islington,Hackney South and Shoreditch,N1 3HT,42577,http://www.beerintheevening.com/pubs/s/42/42577/Hunter_S/London,
14,"452 Finchley Road, London, NW11 8DG",Childs Hill,3.0,6.7,Live music;TV;Karaoke;Sunday roast;Real ale;Cocktails;Outside seating;Dogs allowed;Children allowed;Late licence;Credit cards accepted;Smoking area;Function room for hire;Wireless internet access,,1498830860,51.5631923335168,-0.19692324502207,The Castle,[],,Finchley and Golders Green,NW11 8DG,38960,http://www.beerintheevening.com/pubs/s/38/38960/Castle/London,http://www.thecastlefinchleyroad.com
15,"194 Southgate Road, London, N1 3HT",De Beauvoir,,,,bar: 3;totally: 1;scottish: 1;make: 1;tried: 1;error: 1;flipped: 1;staff: 1;breath: 1;made: 1;order: 1;seemed: 1;man: 1;awful: 1;average: 1,1498830860,51.5460536937361,-0.0835340238357815,The Hunter S,[],,Hackney South and Shoreditch,N1 3HT,42565,http://www.beerintheevening.com/pubs/s/42/42565/Hunter_S/London,
16,"1 Harwood Terrace, Fulham, London, SW6 2AF",Parsons Green and Walham,6.0,7.8,Food served;Sunday roast;Real ale;Outside seating;Dogs allowed;Children allowed;Late licence;Credit cards accepted;Smoking area;Function room for hire;Wireless internet access,pub: 13;really: 11;us: 7;sunday: 6;food: 6;good: 6;new: 5;great: 5;lovely: 4;rose: 4;friendly: 4;feel: 4;lunch: 4;cant: 3;quite: 3,1498830860,51.4767112721636,-0.189866476859025,The Rose,[],,Chelsea and Fulham,SW6 2AF,38958,http://www.beerintheevening.com/pubs/s/38/38958/Rose/London,
17,"Blackbird Hill, London, London, nw9 8rs",,1.0,7.0,,,1498830860,,,Flyers Bar,[],,,,45521,http://www.beerintheevening.com/pubs/s/45/45521/Flyers_Bar/London,
18,"148 Queen Victoria St, London, London, EC4V 4BY",Castle Baynard,21.0,6.6,TV;Sky TV;Big screen;Fruit machines;Quiz machines;Food served;Real ale;Late licence;Credit cards accepted;Cash machine;Function room for hire;Wireless internet access;Air conditioning;Coach parties welcome,place: 11;like: 10;beer: 9;good: 7;would: 6;food: 6;well: 5;design: 5;think: 5;bar: 5;pub: 5;one: 4;ok: 4;nice: 4;friendly: 4,1498830860,51.5122558154329,-0.101540826504797,The Cos Bar,[],Blackfriars;St. Pauls;Mansion House,Cities of London and Westminster,EC4V 4BY,29886,http://www.beerintheevening.com/pubs/s/29/29886/Cos_Bar/London,
19,"183 tottenham court road, Bloomsbury, london, w1t 7pe",,3.0,6.7,Live music;TV;Sky TV;Big screen;Karaoke;Food served;Gluten free meals available;Cocktails;Outside seating;Children allowed;Late licence;Credit cards accepted;Car park;Smoking area;Function room for hire;Wireless internet access;Air conditioning;Coach parties welcome;Disabled access,beer: 2;comfortable: 1;updating: 1;2010: 1;middle: 1;news: 1;april: 1;give: 1;service: 1;bit: 1;etc: 1;highly: 1;website: 1;managment: 1;question: 1,1498830860,,,Bar @ TCR,[],,,,38957,http://www.beerintheevening.com/pubs/s/38/38957/Bar_TCR/london,http://www.bar-tcr.co.uk
20,"27a Old Bailey, London, EC4M 7HS",,4.0,5.2,,staff: 5;bar: 5;good: 4;great: 4;one: 3;place: 3;nice: 3;informed: 3;beer: 2;atmosphere: 2;little: 2;food: 2;bars: 2;since: 2;also: 2,1498830860,,,Chambers Bar,[],Blackfriars;St. Pauls;Farringdon,,EC4M 7HS,5921,http://www.beerintheevening.com/pubs/s/59/5921/Chambers_Bar/City_Of_London,
21,"14 Lime Street, City of London, London, EC3M 7AN",Langbourn,,,,pub: 7;ordinary: 6;bar: 6;adnams: 4;leadenhall: 4;full: 4;one: 3;place: 3;market: 3;nice: 3;london: 3;back: 3;pride: 3;also: 3;grapes: 3,1498830860,51.5122200781363,-0.0833113820366163,The Bunch of Grapes Inn,[],Monument;Bank;Cannon Street,Cities of London and Westminster,EC3M 7AN,37187,http://www.beerintheevening.com/pubs/s/37/37187/Bunch_of_Grapes_Inn/City_of_London,
22,"29 Lawrence Lane, London, EC2V 8DP",Cheap,27.0,6.2,Quiz night;Live music;TV;Big screen;Karaoke;Pool table;Dartboard;Fruit machines;Quiz machines;Food served;Real ale;Outside seating;Late licence;Credit cards accepted;Function room for hire;Wireless internet access;Air conditioning;Coach parties welcome,pub: 7;city: 6;london: 5;good: 4;beer: 3;it�s: 3;gk: 3;inside: 3;pleasant: 3;way: 3;got: 3;great: 3;royal: 3;visit: 3;ipa: 3,1498830860,51.5143182291099,-0.0928652535448277,City Tavern,[],Mansion House;St. Pauls;Bank,Cities of London and Westminster,EC2V 8DP,13902,http://www.beerintheevening.com/pubs/s/13/13902/City_Tavern/City_Of_London,http://www.crazycowevents.co.uk/city_tavern_london
23,"700 Richmond St, London, Ontario, N6A 5C7 CANADA",,2.0,7.0,,,1498830861,,,Molly Bloom's Irish Pub,[],,,,11586,http://www.beerintheevening.com/pubs/s/11/11586/Molly_Blooms_Irish_Pub/London,
24,"360 Victoria Park Road, London, E9 7BT",Victoria,12.0,5.4,TV;Big screen;Pool table;Food served;Outside seating,park: 12;good: 12;bit: 11;place: 11;beer: 9;garden: 9;pub: 8;food: 8;well: 6;time: 6;though: 5;people: 5;britannia: 5;big: 4;staff: 4,1498830861,51.5392902224317,-0.0404704005856798,The Victoria Park,[],Homerton;Hackney Wick;Hackney Central,Hackney South and Shoreditch,E9 7BT,21868,http://www.beerintheevening.com/pubs/s/21/21868/Victoria_Park/London,
25,"202 Bishopsgate, City of London, London, EC2M 4NR",Bishopsgate,,,,good: 4;expensive: 2;london: 2;beer: 2;well: 2;floats: 1;like: 1;eat: 1;partner: 1;reasonable: 1;one: 1;alley: 1;night: 1;worth: 1;barstaff: 1,1498830861,51.5179526549008,-0.0797267595811896,Boisdale of Bishopsgate,[],Liverpool Street;Aldgate;Aldgate East,Cities of London and Westminster,EC2M 4NR,38644,http://www.beerintheevening.com/pubs/s/38/38644/Boisdale_of_Bishopsgate/City_of_London,
26,"62 Stamford Street, London, London, SE19LX",Cathedrals,,,,bar: 10;one: 8;music: 8;pub: 8;table: 7;order: 6;good: 6;tables: 6;ordering: 5;people: 5;concept: 4;pay: 4;even: 4;see: 4;pretty: 3,1498830861,51.5072487608431,-0.107772429979434,The Thirsty Bear,[],Southwark;Waterloo;Blackfriars,Bermondsey and Old Southwark,SE19LX,42584,http://www.beerintheevening.com/pubs/s/42/42584/Thirsty_Bear/London,
27,"231 Long Lane, London, London, SE1 4PR",Grange,4.0,7.2,,,1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],London Bridge;Borough;Elephant and Castle,Bermondsey and Old Southwark,SE1 4PR,42521,http://www.beerintheevening.com/pubs/s/42/42521/Simon_The_Tanner/London,
28,"34 Threadneedle Street, London, EC2R 8AY",Cornhill,6.0,2.3,Real ale,boss: 1;take: 1;pissed: 1;pub: 1;credit: 1;excellent: 1;toiletsand: 1;future: 1;passed: 1;great: 1;although: 1;longer: 1;exists: 1;night: 1,1498830861,51.5142045279385,-0.084784625944988,All Bar One,[],Bank;Monument;Liverpool Street,Cities of London and Westminster,EC2R 8AY,13935,http://www.beerintheevening.com/pubs/s/13/13935/All_Bar_One/City_Of_London,
29,"231 Long Lane, London, London, SE1 4PR",Grange,15.0,7.4,Quiz night;Live music;Food served;Sunday roast;Real ale;Dogs allowed;Children allowed;Credit cards accepted;Wireless internet access;Disabled access;Disabled toilet,pub: 17;beer: 6;food: 6;good: 6;beers: 5;range: 5;cask: 5;bar: 5;one: 4;head: 4;great: 4;place: 4;ales: 4;served: 4;long: 4,1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],London Bridge;Borough;Elephant and Castle,Bermondsey and Old Southwark,SE1 4PR,42512,http://www.beerintheevening.com/pubs/s/42/42512/Simon_The_Tanner/London,
30,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,5.0,,,1498830861,51.5486666617728,-0.094890766052379,The Queen's Head,[],,Islington North,N5 2NH,42545,http://www.beerintheevening.com/pubs/s/42/42545/Queens_Head/London,http://www.queensheadlondon.com
31,"17 Watling Street, London, EC4M 9BB",Cordwainer,12.0,6.5,,place: 9;80s: 9;like: 7;great: 6;dance: 6;go: 5;music: 4;dont: 4;friday: 3;fun: 3;80�s: 3;night: 3;city: 3;bar: 3;beer: 2,1498830861,51.5130957995977,-0.0945592866532083,Reflex,[],Mansion House;St. Pauls;Cannon Street,Cities of London and Westminster,EC4M 9BB,27671,http://www.beerintheevening.com/pubs/s/27/27671/Reflex/London,
32,"231 Long Lane, London, London, SE1 4PR",Grange,4.0,7.8,,,1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],London Bridge;Borough;Elephant and Castle,Bermondsey and Old Southwark,SE1 4PR,42517,http://www.beerintheevening.com/pubs/s/42/42517/Simon_The_Tanner/London,
33,"Aldermary House, 10�15 Queen Street, London, EC4N 1TX",Cordwainer,27.0,3.9,,bar: 17;staff: 14;night: 13;drinks: 11;city: 10;place: 10;go: 10;time: 8;one: 7;even: 7;friday: 7;friendly: 7;happy: 6;dont: 6;top: 6,1498830861,51.5129842516155,-0.092675963950737,Apt Bar,[],Mansion House;Cannon Street;Bank,Cities of London and Westminster,EC4N 1TX,24467,http://www.beerintheevening.com/pubs/s/24/24467/Apt_Bar/City_Of_London,
34,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,,,1498830861,51.5486666617728,-0.094890766052379,The Queen's Head,[],,Islington North,N5 2NH,42530,http://www.beerintheevening.com/pubs/s/42/42530/Queens_Head/London,http://www.queensheadlondon.com
35,"Rotherhithe Street, London, London, SE16 5LJ",Surrey Docks,,,,london: 4;bus: 2;rotherhithe: 2;nice: 2;bite: 2;great: 1;better: 1;york: 1;pub: 1;traveling: 1;would: 1;beer: 1;took: 1;locate: 1;one: 1,1498830861,51.4987415428877,-0.0345020283924687,The Ship York,[],Canada Water;Surrey Quays;Canary Wharf,Bermondsey and Old Southwark,SE16 5LJ,41976,http://www.beerintheevening.com/pubs/s/41/41976/Ship_York/London,
36,"Hill House, Shoe Lane, London, EC4A 3BQ",Castle Baynard,8.0,4.5,,massage: 6;bar: 6;girl: 4;friday: 2;three: 2;london: 2;men: 2;one: 2;work: 2;happy: 2;crowd: 2;music: 2;drinks: 2;loved: 2;think: 2,1498830862,51.516158675323,-0.106552824501769,Alibi,[],Chancery Lane;Farringdon;Blackfriars,Cities of London and Westminster,EC4A 3BQ,24120,http://www.beerintheevening.com/pubs/s/24/24120/Alibi/City_Of_London,
37,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,5.0,,,1498830862,51.5486666617728,-0.094890766052379,The Queen's Head,[],Canonbury;Highbury and Islington;Dalston Kingsland,Islington North,N5 2NH,42520,http://www.beerintheevening.com/pubs/s/42/42520/Queens_Head/London,http://www.queensheadlondon.com
38,"30 St Mary Axe, London, London, EC3A 8BF",Aldgate,9.0,5.4,Food served;Cocktails;Children allowed;Credit cards accepted;Air conditioning;Disabled access;Disabled toilet,get: 5;bar: 4;barman: 3;back: 3;place: 3;busy: 3;go: 3;drinks: 3;tray: 3;machine: 3;started: 2;didnt: 2;card: 2;cheap: 2;credit: 2,1498830862,51.5144845907307,-0.0804635303480853,The Sterling,[],Aldgate;Liverpool Street;Aldgate East,Cities of London and Westminster,EC3A 8BF,26547,http://www.beerintheevening.com/pubs/s/26/26547/Sterling/London,
39,"27 Lime Street, London, EC3M 7HR",Langbourn,,,,pub: 6;good: 4;area: 4;time: 4;place: 3;downstairs: 3;like: 2;main: 2;one: 2;sit: 2;road: 2;stopped: 2;food: 2;day: 2;friendly: 2,1498830863,51.5120254369332,-0.0835069047243965,The Ship Tavern,[],Monument;Bank;Cannon Street,Cities of London and Westminster,EC3M 7HR,34911,http://www.beerintheevening.com/pubs/s/34/34911/Ship_Tavern/City_of_London,
40,"100 Fenchurch Street, City of London, London, EC3M 5JD",Aldgate,,,,,1498830863,51.5128456029855,-0.0786732788075276,Slug and Lettuce,[],Aldgate;Tower Hill;Aldgate East,Cities of London and Westminster,EC3M 5JD,37185,http://www.beerintheevening.com/pubs/s/37/37185/Slug_and_Lettuce/City_of_London,
41,"15 St Mary Avenue, City of London, London, EC3A 8AH",Lime Street,,,,still: 3;place: 2;people: 2;went: 2;ordered: 2;lager: 2;pubbar: 1;entrance: 1;st: 1;mine: 1;pub: 1;1973: 1;visit: 1;lloyds: 1;london: 1,1498830863,51.5143180615067,-0.0812776304539112,The Underwriter,[],Liverpool Street;Aldgate;Bank,Cities of London and Westminster,EC3A 8AH,32686,http://www.beerintheevening.com/pubs/s/32/32686/Underwriter/City_of_London,
42,"Dowgate Hill, City of London, London, EC4N 6AP",Dowgate,,,,,1498830863,51.511263705943,-0.0902834605724133,Pelt Trader,[],Cannon Street;Bank;Mansion House,Cities of London and Westminster,EC4N 6AP,43214,http://www.beerintheevening.com/pubs/s/43/43214/Pelt_Trader/City_of_London,
43,"Tower 42, 25 Old Broad Street, London, EC2N 1HQ",Cornhill,6.0,6.0,Cocktails,place: 7;views: 6;way: 5;london: 5;great: 5;advance: 4;good: 4;street: 3;like: 3;cant: 3;get: 3;book: 3;youll: 3;top: 3;best: 3,1498830863,51.5152621480288,-0.0840196240555185,Vertigo 42,[],Liverpool Street;Bank;Moorgate,Cities of London and Westminster,EC2N 1HQ,11306,http://www.beerintheevening.com/pubs/s/11/11306/Vertigo_42/City_Of_London,
44,"26 Throgmorton Street, London, EC2N 2AN",Broad Street,25.0,6.2,TV;Quiz machines;Food served;Real ale;Cocktails;Late licence;Credit cards accepted;Smoking area;Air conditioning;Coach parties welcome;Disabled access;Disabled toilet,pub: 24;good: 11;smoke: 10;city: 7;king: 7;would: 6;greene: 6;nice: 6;great: 5;free: 5;street: 4;fairly: 4;mediocre: 4;ales: 4;bit: 4,1498830863,51.5149630461705,-0.0860787761433638,The Phoenix,[],Bank;Liverpool Street;Moorgate,Cities of London and Westminster,EC2N 2AN,7490,http://www.beerintheevening.com/pubs/s/74/7490/Phoenix/City_Of_London,
45,"52 Threadneedle Street, City of London, London, EC2R 8AY",Cornhill,,,,,1498830863,51.5142045279385,-0.084784625944988,Pacific Oriental,[],Bank;Monument;Liverpool Street,Cities of London and Westminster,EC2R 8AY,41381,http://www.beerintheevening.com/pubs/s/41/41381/Pacific_Oriental/City_of_London,
46,"2/4 Queens Head Passage, Paternoster Square, London, EC4M 7DZ",Bread Street,,,TV;Fruit machines;Quiz machines;Food served;Real ale;Smoking area;Wireless internet access;Disabled access;Disabled toilet,pub: 9;well: 8;didnt: 7;youngs: 6;would: 6;food: 6;bar: 6;one: 5;kept: 5;like: 5;beer: 5;place: 5;full: 4;friendly: 4;city: 4,1498830864,51.5150415291565,-0.0986433552950399,The Paternoster,[],St. Pauls;Blackfriars;Mansion House,Cities of London and Westminster,EC4M 7DZ,11676,http://www.beerintheevening.com/pubs/s/11/11676/Paternoster/City_Of_London,
47,"Part No.10 Aldermanbury, Love Lane, London, EC2V 7JQ",Bassishaw,13.0,4.9,TV;Food served;Wireless internet access,good: 11;pub: 11;staff: 7;food: 6;like: 4;bar: 4;ok: 4;cape: 4;screen: 4;night: 4;last: 3;service: 3;drink: 3;please: 2;beer: 2,1498830864,51.5163879806338,-0.0940615668426549,The Prodigal,[],St. Pauls;Mansion House;Moorgate,Cities of London and Westminster,EC2V 7JQ,9138,http://www.beerintheevening.com/pubs/s/91/9138/Prodigal/City_Of_London,
48,"32 Old Bailey Street, London, EC4M 7BS",,4.0,6.2,Function room for hire,great: 3;dj: 2;friday: 2;loads: 1;name: 1;pub: 1;booths: 1;fun: 1;fantastic: 1;seating: 1;night: 1;different: 1;crowd: 1;party: 1;karaoke: 1,1498830864,,,McGoverns,[],St. Pauls;Blackfriars;Farringdon,,EC4M 7BS,6048,http://www.beerintheevening.com/pubs/s/60/6048/McGoverns/City_Of_London,
49,"18 Old Bailey, London, EC4M 7EP",Farringdon Within,9.0,5.9,Pool table,pub: 4;style: 4;went: 3;good: 3;like: 2;menu: 2;recommended: 2;dont: 2;big: 2;know: 2;tap: 1;street: 1;downstairs: 1;demands: 1;upon: 1,1498830864,51.515886105371,-0.102485266656678,The Magpie and Stump,[],St. Pauls;Blackfriars;Farringdon,Cities of London and Westminster,EC4M 7EP,25722,http://www.beerintheevening.com/pubs/s/25/25722/Magpie_and_Stump/City_Of_London,
50,"49 Chiswell Street, City of London, London, EC1Y 4SA",Coleman Street,,,,drink: 3;barman: 2;tonic: 2;asked: 2;double: 2;two: 1;retention: 1;customer: 1;pub: 1;continued: 1;doubt: 1;service: 1;policy: 1;beer: 1;shabby: 1,1498830864,51.5207937147311,-0.0907064350394481,The Jugged Hare,[],Moorgate;Barbican;Old Street,Cities of London and Westminster,EC1Y 4SA,44215,http://www.beerintheevening.com/pubs/s/44/44215/Jugged_Hare/City_of_London,
51,"12 Ludgate Circus, London, EC4M 7LQ",Farringdon Within,4.0,6.0,Food served;Real ale,although: 1;another: 1;could: 1;guess: 1;typical: 1;reopen: 1;appear: 1;closed: 1;namechain: 1;modernised: 1;hogs: 1;uninspiring: 1;head: 1;renovating: 1,1498830864,51.5143395549533,-0.104163731829366,Hog's Head,[],Blackfriars;St. Pauls;Farringdon,Cities of London and Westminster,EC4M 7LQ,13204,http://www.beerintheevening.com/pubs/s/13/13204/Hogs_Head/City_Of_London,
52,"80 Farringdon Street, London, EC4A 4BL",Farringdon Within,80.0,3.5,TV;Big screen;Food served;Real ale;Outside seating;Credit cards accepted;Function room for hire;Air conditioning;Coach parties welcome,pub: 98;staff: 29;good: 29;hoop: 29;would: 24;grapes: 24;bar: 22;well: 22;service: 21;beer: 21;london: 21;one: 19;time: 19;nice: 19;area: 19,1498830864,51.5153411077239,-0.104929260865212,The Hoop and Grapes,[],Blackfriars;Chancery Lane;Farringdon,Cities of London and Westminster,EC4A 4BL,6131,http://www.beerintheevening.com/pubs/s/61/6131/Hoop_and_Grapes/City_Of_London,
53,"8, Bedale St, London, SE1 9AL",Cathedrals,,,Sky TV;Dartboard;Fruit machines;Quiz machines;Food served;Real ale;Adnams and Youngs);Outside seating,pub: 46;place: 25;good: 24;pint: 23;market: 20;staff: 20;beer: 19;like: 17;bar: 16;pubs: 16;area: 15;get: 13;ok: 13;london: 13;one: 12,1498830865,51.5054762708883,-0.0899634719572406,The Globe,[],London Bridge;Borough;Monument,Bermondsey and Old Southwark,SE1 9AL,1358,http://www.beerintheevening.com/pubs/s/13/1358/Globe/London_Bridge,
54,"251, Tooley St, London, SE1 2JX",Riverside,22.0,6.3,Food served,pub: 25;food: 14;good: 14;great: 10;staff: 9;bar: 8;really: 7;would: 7;atmosphere: 7;place: 6;still: 5;like: 5;since: 5;back: 5;friendly: 5,1498830865,51.5015684832904,-0.0759057222246936,The Kings Arms,[],London Bridge;Tower Hill;Bermondsey,Bermondsey and Old Southwark,SE1 2JX,7574,http://www.beerintheevening.com/pubs/s/75/7574/Kings_Arms/London_Bridge,
55,"26 Melior Street, London, SE1 3QP",Grange,,,TV;Big screen;Dartboard;Food served;Sunday roast;Real ale;Outside seating;Credit cards accepted;Function room for hire,pub: 66;london: 31;beer: 24;good: 24;area: 23;food: 23;one: 21;bar: 19;back: 19;nice: 18;well: 17;staff: 15;away: 14;friendly: 14;bridge: 14,1498830865,51.50251441629,-0.0847993100914435,The Horseshoe Inn,[],London Bridge;Borough;Monument,Bermondsey and Old Southwark,SE1 3QP,14422,http://www.beerintheevening.com/pubs/s/14/14422/Horseshoe_Inn/London_Bridge,
56,"77 Borough High Street, London, SE1 1NH",Chaucer,,,Real ale;Outside seating,pub: 108;beer: 51;good: 50;bar: 47;place: 44;outside: 41;staff: 40;one: 36;pint: 32;great: 31;get: 30;worth: 27;time: 26;like: 25;area: 25,1498830865,51.5042434096819,-0.0904617139690885,The George,[],London Bridge;Borough;Monument,Bermondsey and Old Southwark,SE1 1NH,434,http://www.beerintheevening.com/pubs/s/43/434/George/London_Bridge,
57,"Chaucer House, White Hart Yard, London, SE1 1NX",Chaucer,8.0,3.6,Food served;Outside seating,place: 5;bar: 4;drinking: 3;davys: 3;like: 2;usual: 2;one: 2;selection: 2;excellent: 2;cosy: 2;food: 2;big: 2;cold: 2;wine: 2;clearly: 2,1498830865,51.5045719959043,-0.0896554606092947,The Heeltap and Bumper,[],London Bridge;Borough;Monument,Bermondsey and Old Southwark,SE1 1NX,25571,http://www.beerintheevening.com/pubs/s/25/25571/Heeltap_and_Bumper/London_Bridge,
58,"99 Bermondsey Street, Bermondsey, London, SE1 3XB",Grange,17.0,5.2,Food served;Cocktails,food: 17;pub: 12;really: 8;place: 7;good: 7;atmosphere: 6;great: 6;expensive: 5;garrison: 5;service: 5;like: 4;road: 4;one: 4;get: 4;restaurant: 4,1498830865,51.5006362735533,-0.0815785810411627,The Garrison,[],London Bridge;Borough;Tower Hill,Bermondsey and Old Southwark,SE1 3XB,5337,http://www.beerintheevening.com/pubs/s/53/5337/Garrison/London_Bridge,
59,"1 Stoney Street, London, SE1 9AA",Cathedrals,64.0,3.2,Food served,place: 52;beer: 46;bar: 45;beers: 34;staff: 33;like: 24;pub: 22;market: 21;service: 19;area: 19;people: 19;pint: 18;get: 18;great: 18;brew: 18,1498830865,51.5051076733876,-0.0910740124345806,The Brew Wharf,[],London Bridge;Borough;Cannon Street,Bermondsey and Old Southwark,SE1 9AA,27812,http://www.beerintheevening.com/pubs/s/27/27812/Brew_Wharf/London_Bridge,
60,"32 Lafone Street, Butlers Wharf, London Bridge, London, SE1 2LX",Riverside,,,,good: 19;pub: 16;beers: 14;bar: 12;visit: 10;beer: 9;nice: 9;great: 8;selection: 8;well: 7;area: 7;friendly: 7;would: 6;cask: 6;staff: 6,1498830865,51.5033052306211,-0.0748815710067715,Dean Swift,[],Tower Hill;London Bridge;Bermondsey,Bermondsey and Old Southwark,SE1 2LX,37977,http://www.beerintheevening.com/pubs/s/37/37977/Dean_Swift/London_Bridge,
