,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
10,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,2.0,6.5,[''],1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],[],Hackney South and Shoreditch,N1 3HT,42585,http://www.beerintheevening.com/pubs/s/42/42585/Hunter_S/London,
11,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,,,[''],1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],[],Hackney South and Shoreditch,N1 3HT,42574,http://www.beerintheevening.com/pubs/s/42/42574/Hunter_S/London,
12,"19 -23 Oxford Street, London, W1D 2DN",West End,6.0,4.8,[''],1498830859,51.5161956498829,-0.131284014012088,The Metro Club,[],"[{'name': 'Tottenham Court Road', 'distance': '0 miles'}, {'name': 'Goodge Street', 'distance': '0.4 miles'}, {'name': 'Leicester Square', 'distance': '0.4 miles'}]",Cities of London and Westminster,W1D 2DN,31002,http://www.beerintheevening.com/pubs/s/31/31002/Metro_Club/London,
13,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,,,[''],1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],"[{'name': 'Dalston Kingsland', 'distance': '0.4 miles'}, {'name': 'Canonbury', 'distance': '0.5 miles'}, {'name': 'Highbury and Islington', 'distance': '0.9 miles'}]",Hackney South and Shoreditch,N1 3HT,42577,http://www.beerintheevening.com/pubs/s/42/42577/Hunter_S/London,
14,"452 Finchley Road, London, NW11 8DG",Childs Hill,3.0,6.7,"['Live music', 'TV', 'Karaoke', 'Sunday roast', 'Real ale', 'Cocktails', 'Outside seating', 'Dogs allowed', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Smoking area', 'Function room for hire', 'Wireless internet access']",1498830860,51.5631923335168,-0.19692324502207,The Castle,[],[],Finchley and Golders Green,NW11 8DG,38960,http://www.beerintheevening.com/pubs/s/38/38960/Castle/London,http://www.thecastlefinchleyroad.com
15,"194 Southgate Road, London, N1 3HT",De Beauvoir,,,[''],1498830860,51.5460536937361,-0.0835340238357815,The Hunter S,[],[],Hackney South and Shoreditch,N1 3HT,42565,http://www.beerintheevening.com/pubs/s/42/42565/Hunter_S/London,
16,"1 Harwood Terrace, Fulham, London, SW6 2AF",Parsons Green and Walham,6.0,7.8,"['Food served', 'Sunday roast', 'Real ale', 'Outside seating', 'Dogs allowed', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Smoking area', 'Function room for hire', 'Wireless internet access']",1498830860,51.4767112721636,-0.189866476859025,The Rose,[],[],Chelsea and Fulham,SW6 2AF,38958,http://www.beerintheevening.com/pubs/s/38/38958/Rose/London,
17,"Blackbird Hill, London, London, nw9 8rs",,1.0,7.0,[''],1498830860,,,Flyers Bar,[],[],,,45521,http://www.beerintheevening.com/pubs/s/45/45521/Flyers_Bar/London,
18,"148 Queen Victoria St, London, London, EC4V 4BY",Castle Baynard,21.0,6.6,"['TV', 'Sky TV', 'Big screen', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale', 'Late licence', 'Credit cards accepted', 'Cash machine', 'Function room for hire', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome']",1498830860,51.5122558154329,-0.101540826504797,The Cos Bar,[],"[{'name': 'Blackfriars', 'distance': '0.1 miles'}, {'name': 'St. Pauls', 'distance': '0.3 miles'}, {'name': 'Mansion House', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC4V 4BY,29886,http://www.beerintheevening.com/pubs/s/29/29886/Cos_Bar/London,
19,"183 tottenham court road, Bloomsbury, london, w1t 7pe",,3.0,6.7,"['Live music', 'TV', 'Sky TV', 'Big screen', 'Karaoke (EVERY THURSDAY NIGHTS)', 'Food served', 'Gluten free meals available', 'Cocktails', 'Outside seating', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Car park', 'Smoking area', 'Function room for hire', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome', 'Disabled access']",1498830860,,,Bar @ TCR,[],[],,,38957,http://www.beerintheevening.com/pubs/s/38/38957/Bar_TCR/london,http://www.bar-tcr.co.uk
20,"27a Old Bailey, London, EC4M 7HS",,4.0,5.2,[''],1498830860,,,Chambers Bar,[],"[{'name': 'Blackfriars', 'distance': '0.2 miles'}, {'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4M 7HS,5921,http://www.beerintheevening.com/pubs/s/59/5921/Chambers_Bar/City_Of_London,
21,"14 Lime Street, City of London, London, EC3M 7AN",Langbourn,,,[''],1498830860,51.5122200781363,-0.0833113820366163,The Bunch of Grapes Inn,[],"[{'name': 'Monument', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}, {'name': 'Cannon Street', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC3M 7AN,37187,http://www.beerintheevening.com/pubs/s/37/37187/Bunch_of_Grapes_Inn/City_of_London,
22,"29 Lawrence Lane, London, EC2V 8DP",Cheap,27.0,6.2,"['Quiz night (Seats up to 110 for a quiz)', 'Live music', 'TV', 'Big screen', 'Karaoke', 'Pool table (Can be booked for private hire)', 'Dartboard', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale', 'Outside seating (Roof terrace)', 'Late licence', 'Credit cards accepted', 'Function room for hire (Free function room hire for 150)', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome']",1498830860,51.5143182291099,-0.0928652535448277,City Tavern,[],"[{'name': 'Mansion House', 'distance': '0.2 miles'}, {'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.2 miles'}]",Cities of London and Westminster,EC2V 8DP,13902,http://www.beerintheevening.com/pubs/s/13/13902/City_Tavern/City_Of_London,http://www.crazycowevents.co.uk/city_tavern_london
23,"700 Richmond St, London, Ontario, N6A 5C7 CANADA",,2.0,7.0,[''],1498830861,,,Molly Bloom's Irish Pub,[],[],,,11586,http://www.beerintheevening.com/pubs/s/11/11586/Molly_Blooms_Irish_Pub/London,
24,"360 Victoria Park Road, London, E9 7BT",Victoria,12.0,5.4,"['TV', 'Big screen', 'Pool table', 'Food served', 'Outside seating']",1498830861,51.5392902224317,-0.0404704005856798,The Victoria Park,[],"[{'name': 'Homerton', 'distance': '0.6 miles'}, {'name': 'Hackney Wick', 'distance': '0.8 miles'}, {'name': 'Hackney Central', 'distance': '0.9 miles'}]",Hackney South and Shoreditch,E9 7BT,21868,http://www.beerintheevening.com/pubs/s/21/21868/Victoria_Park/London,
25,"202 Bishopsgate, City of London, London, EC2M 4NR",Bishopsgate,,,[''],1498830861,51.5179526549008,-0.0797267595811896,Boisdale of Bishopsgate,[],"[{'name': 'Liverpool Street', 'distance': '0.1 miles'}, {'name': 'Aldgate', 'distance': '0.3 miles'}, {'name': 'Aldgate East', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC2M 4NR,38644,http://www.beerintheevening.com/pubs/s/38/38644/Boisdale_of_Bishopsgate/City_of_London,
26,"62 Stamford Street, London, London, SE19LX",Cathedrals,,,[''],1498830861,51.5072487608431,-0.107772429979434,The Thirsty Bear,[],"[{'name': 'Southwark', 'distance': '0.3 miles'}, {'name': 'Waterloo', 'distance': '0.4 miles'}, {'name': 'Blackfriars', 'distance': '0.4 miles'}]",Bermondsey and Old Southwark,SE19LX,42584,http://www.beerintheevening.com/pubs/s/42/42584/Thirsty_Bear/London,
27,"231 Long Lane, London, London, SE1 4PR",Grange,4.0,7.2,[''],1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],"[{'name': 'London Bridge', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Elephant and Castle', 'distance': '0.8 miles'}]",Bermondsey and Old Southwark,SE1 4PR,42521,http://www.beerintheevening.com/pubs/s/42/42521/Simon_The_Tanner/London,
28,"34 Threadneedle Street, London, EC2R 8AY",Cornhill,6.0,2.3,['Real ale'],1498830861,51.5142045279385,-0.084784625944988,All Bar One,[],"[{'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Monument', 'distance': '0.3 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC2R 8AY,13935,http://www.beerintheevening.com/pubs/s/13/13935/All_Bar_One/City_Of_London,
29,"231 Long Lane, London, London, SE1 4PR",Grange,15.0,7.4,"['Quiz night', 'Live music', 'Food served', 'Sunday roast', 'Real ale', 'Dogs allowed', 'Children allowed', 'Credit cards accepted', 'Wireless internet access', 'Disabled access', 'Disabled toilet']",1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],"[{'name': 'London Bridge', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Elephant and Castle', 'distance': '0.8 miles'}]",Bermondsey and Old Southwark,SE1 4PR,42512,http://www.beerintheevening.com/pubs/s/42/42512/Simon_The_Tanner/London,
30,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,5.0,[''],1498830861,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42545,http://www.beerintheevening.com/pubs/s/42/42545/Queens_Head/London,http://www.queensheadlondon.com
31,"17 Watling Street, London, EC4M 9BB",Cordwainer,12.0,6.5,[''],1498830861,51.5130957995977,-0.0945592866532083,Reflex,[],"[{'name': 'Mansion House', 'distance': '0.1 miles'}, {'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Cannon Street', 'distance': '0.2 miles'}]",Cities of London and Westminster,EC4M 9BB,27671,http://www.beerintheevening.com/pubs/s/27/27671/Reflex/London,
32,"231 Long Lane, London, London, SE1 4PR",Grange,4.0,7.8,[''],1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],"[{'name': 'London Bridge', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Elephant and Castle', 'distance': '0.8 miles'}]",Bermondsey and Old Southwark,SE1 4PR,42517,http://www.beerintheevening.com/pubs/s/42/42517/Simon_The_Tanner/London,
33,"Aldermary House, 10�15 Queen Street, London, EC4N 1TX",Cordwainer,27.0,3.9,[''],1498830861,51.5129842516155,-0.092675963950737,Apt Bar,[],"[{'name': 'Mansion House', 'distance': '0.1 miles'}, {'name': 'Cannon Street', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.2 miles'}]",Cities of London and Westminster,EC4N 1TX,24467,http://www.beerintheevening.com/pubs/s/24/24467/Apt_Bar/City_Of_London,
34,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,[''],1498830861,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42530,http://www.beerintheevening.com/pubs/s/42/42530/Queens_Head/London,http://www.queensheadlondon.com
35,"Rotherhithe Street, London, London, SE16 5LJ",Surrey Docks,,,[''],1498830861,51.4987415428877,-0.0345020283924687,The Ship York,[],"[{'name': 'Canada Water', 'distance': '0.7 miles'}, {'name': 'Surrey Quays', 'distance': '0.7 miles'}, {'name': 'Canary Wharf', 'distance': '0.8 miles'}]",Bermondsey and Old Southwark,SE16 5LJ,41976,http://www.beerintheevening.com/pubs/s/41/41976/Ship_York/London,
36,"Hill House, Shoe Lane, London, EC4A 3BQ",Castle Baynard,8.0,4.5,[''],1498830862,51.516158675323,-0.106552824501769,Alibi,[],"[{'name': 'Chancery Lane', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.3 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC4A 3BQ,24120,http://www.beerintheevening.com/pubs/s/24/24120/Alibi/City_Of_London,
37,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,5.0,[''],1498830862,51.5486666617728,-0.094890766052379,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",Islington North,N5 2NH,42520,http://www.beerintheevening.com/pubs/s/42/42520/Queens_Head/London,http://www.queensheadlondon.com
38,"30 St Mary Axe, London, London, EC3A 8BF",Aldgate,9.0,5.4,"['Food served', 'Cocktails', 'Children allowed', 'Credit cards accepted', 'Air conditioning', 'Disabled access', 'Disabled toilet']",1498830862,51.5144845907307,-0.0804635303480853,The Sterling,[],"[{'name': 'Aldgate', 'distance': '0.2 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}, {'name': 'Aldgate East', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC3A 8BF,26547,http://www.beerintheevening.com/pubs/s/26/26547/Sterling/London,
39,"27 Lime Street, London, EC3M 7HR",Langbourn,,,[''],1498830863,51.5120254369332,-0.0835069047243965,The Ship Tavern,[],"[{'name': 'Monument', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}, {'name': 'Cannon Street', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC3M 7HR,34911,http://www.beerintheevening.com/pubs/s/34/34911/Ship_Tavern/City_of_London,
40,"100 Fenchurch Street, City of London, London, EC3M 5JD",Aldgate,,,[''],1498830863,51.5128456029855,-0.0786732788075276,Slug and Lettuce,[],"[{'name': 'Aldgate', 'distance': '0.2 miles'}, {'name': 'Tower Hill', 'distance': '0.2 miles'}, {'name': 'Aldgate East', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC3M 5JD,37185,http://www.beerintheevening.com/pubs/s/37/37185/Slug_and_Lettuce/City_of_London,
41,"15 St Mary Avenue, City of London, London, EC3A 8AH",Lime Street,,,[''],1498830863,51.5143180615067,-0.0812776304539112,The Underwriter,[],"[{'name': 'Liverpool Street', 'distance': '0.3 miles'}, {'name': 'Aldgate', 'distance': '0.3 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC3A 8AH,32686,http://www.beerintheevening.com/pubs/s/32/32686/Underwriter/City_of_London,
42,"Dowgate Hill, City of London, London, EC4N 6AP",Dowgate,,,[''],1498830863,51.511263705943,-0.0902834605724133,Pelt Trader,[],"[{'name': 'Cannon Street', 'distance': '0 miles'}, {'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Mansion House', 'distance': '0.2 miles'}]",Cities of London and Westminster,EC4N 6AP,43214,http://www.beerintheevening.com/pubs/s/43/43214/Pelt_Trader/City_of_London,
43,"Tower 42, 25 Old Broad Street, London, EC2N 1HQ",Cornhill,6.0,6.0,['Cocktails'],1498830863,51.5152621480288,-0.0840196240555185,Vertigo 42,[],"[{'name': 'Liverpool Street', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}, {'name': 'Moorgate', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC2N 1HQ,11306,http://www.beerintheevening.com/pubs/s/11/11306/Vertigo_42/City_Of_London,
44,"26 Throgmorton Street, London, EC2N 2AN",Broad Street,25.0,6.2,"['TV', 'Quiz machines', 'Food served', 'Real ale', 'Cocktails', 'Late licence', 'Credit cards accepted', 'Smoking area (completely smoke-free pub)', 'Air conditioning', 'Coach parties welcome', 'Disabled access', 'Disabled toilet']",1498830863,51.5149630461705,-0.0860787761433638,The Phoenix,[],"[{'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}, {'name': 'Moorgate', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC2N 2AN,7490,http://www.beerintheevening.com/pubs/s/74/7490/Phoenix/City_Of_London,
45,"52 Threadneedle Street, City of London, London, EC2R 8AY",Cornhill,,,[''],1498830863,51.5142045279385,-0.084784625944988,Pacific Oriental,[],"[{'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Monument', 'distance': '0.3 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC2R 8AY,41381,http://www.beerintheevening.com/pubs/s/41/41381/Pacific_Oriental/City_of_London,
46,"2/4 Queens Head Passage, Paternoster Square, London, EC4M 7DZ",Bread Street,,,"['TV', 'Fruit machines', 'Quiz machines (itbox)', 'Food served', 'Real ale', 'Smoking area', 'Wireless internet access', 'Disabled access', 'Disabled toilet']",1498830864,51.5150415291565,-0.0986433552950399,The Paternoster,[],"[{'name': 'St. Pauls', 'distance': '0.1 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Mansion House', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC4M 7DZ,11676,http://www.beerintheevening.com/pubs/s/11/11676/Paternoster/City_Of_London,
47,"Part No.10 Aldermanbury, Love Lane, London, EC2V 7JQ",Bassishaw,13.0,4.9,"['TV', 'Food served', 'Wireless internet access (provided by The Cloud)']",1498830864,51.5163879806338,-0.0940615668426549,The Prodigal,[],"[{'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Mansion House', 'distance': '0.3 miles'}, {'name': 'Moorgate', 'distance': '0.3 miles'}]",Cities of London and Westminster,EC2V 7JQ,9138,http://www.beerintheevening.com/pubs/s/91/9138/Prodigal/City_Of_London,
48,"32 Old Bailey Street, London, EC4M 7BS",,4.0,6.2,['Function room for hire'],1498830864,,,McGoverns,[],"[{'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4M 7BS,6048,http://www.beerintheevening.com/pubs/s/60/6048/McGoverns/City_Of_London,
49,"18 Old Bailey, London, EC4M 7EP",Farringdon Within,9.0,5.9,['Pool table'],1498830864,51.515886105371,-0.102485266656678,The Magpie and Stump,[],"[{'name': 'St. Pauls', 'distance': '0.3 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC4M 7EP,25722,http://www.beerintheevening.com/pubs/s/25/25722/Magpie_and_Stump/City_Of_London,
50,"49 Chiswell Street, City of London, London, EC1Y 4SA",Coleman Street,,,[''],1498830864,51.5207937147311,-0.0907064350394481,The Jugged Hare,[],"[{'name': 'Moorgate', 'distance': '0.2 miles'}, {'name': 'Barbican', 'distance': '0.3 miles'}, {'name': 'Old Street', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC1Y 4SA,44215,http://www.beerintheevening.com/pubs/s/44/44215/Jugged_Hare/City_of_London,
51,"12 Ludgate Circus, London, EC4M 7LQ",Farringdon Within,4.0,6.0,"['Food served', 'Real ale']",1498830864,51.5143395549533,-0.104163731829366,Hog's Head,[],"[{'name': 'Blackfriars', 'distance': '0.2 miles'}, {'name': 'St. Pauls', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC4M 7LQ,13204,http://www.beerintheevening.com/pubs/s/13/13204/Hogs_Head/City_Of_London,
52,"80 Farringdon Street, London, EC4A 4BL",Farringdon Within,80.0,3.5,"['TV', 'Big screen', 'Food served', 'Real ale', 'Outside seating (2 outdoor areas)', 'Credit cards accepted', 'Function room for hire (7 days a week)', 'Air conditioning', 'Coach parties welcome']",1498830864,51.5153411077239,-0.104929260865212,The Hoop and Grapes,[],"[{'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Chancery Lane', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",Cities of London and Westminster,EC4A 4BL,6131,http://www.beerintheevening.com/pubs/s/61/6131/Hoop_and_Grapes/City_Of_London,
53,"8, Bedale St, London, SE1 9AL",Cathedrals,,,"['Sky TV', 'Dartboard', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale (London Pride', 'Adnams and Youngs)', 'Outside seating']",1498830865,51.5054762708883,-0.0899634719572406,The Globe,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.4 miles'}, {'name': 'Monument', 'distance': '0.4 miles'}]",Bermondsey and Old Southwark,SE1 9AL,1358,http://www.beerintheevening.com/pubs/s/13/1358/Globe/London_Bridge,
54,"251, Tooley St, London, SE1 2JX",Riverside,22.0,6.3,['Food served'],1498830865,51.5015684832904,-0.0759057222246936,The Kings Arms,[],"[{'name': 'London Bridge', 'distance': '0.6 miles'}, {'name': 'Tower Hill', 'distance': '0.6 miles'}, {'name': 'Bermondsey', 'distance': '0.6 miles'}]",Bermondsey and Old Southwark,SE1 2JX,7574,http://www.beerintheevening.com/pubs/s/75/7574/Kings_Arms/London_Bridge,
55,"26 Melior Street, London, SE1 3QP",Grange,,,"['TV', 'Big screen', 'Dartboard', 'Food served', 'Sunday roast', 'Real ale', 'Outside seating', 'Credit cards accepted', 'Function room for hire']",1498830865,51.50251441629,-0.0847993100914435,The Horseshoe Inn,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Monument', 'distance': '0.6 miles'}]",Bermondsey and Old Southwark,SE1 3QP,14422,http://www.beerintheevening.com/pubs/s/14/14422/Horseshoe_Inn/London_Bridge,
56,"77 Borough High Street, London, SE1 1NH",Chaucer,,,"['Real ale', 'Outside seating']",1498830865,51.5042434096819,-0.0904617139690885,The George,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.3 miles'}, {'name': 'Monument', 'distance': '0.5 miles'}]",Bermondsey and Old Southwark,SE1 1NH,434,http://www.beerintheevening.com/pubs/s/43/434/George/London_Bridge,
57,"Chaucer House, White Hart Yard, London, SE1 1NX",Chaucer,8.0,3.6,"['Food served', 'Outside seating']",1498830865,51.5045719959043,-0.0896554606092947,The Heeltap and Bumper,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.3 miles'}, {'name': 'Monument', 'distance': '0.5 miles'}]",Bermondsey and Old Southwark,SE1 1NX,25571,http://www.beerintheevening.com/pubs/s/25/25571/Heeltap_and_Bumper/London_Bridge,
58,"99 Bermondsey Street, Bermondsey, London, SE1 3XB",Grange,17.0,5.2,"['Food served', 'Cocktails']",1498830865,51.5006362735533,-0.0815785810411627,The Garrison,[],"[{'name': 'London Bridge', 'distance': '0.4 miles'}, {'name': 'Borough', 'distance': '0.6 miles'}, {'name': 'Tower Hill', 'distance': '0.7 miles'}]",Bermondsey and Old Southwark,SE1 3XB,5337,http://www.beerintheevening.com/pubs/s/53/5337/Garrison/London_Bridge,
59,"1 Stoney Street, London, SE1 9AA",Cathedrals,64.0,3.2,['Food served'],1498830865,51.5051076733876,-0.0910740124345806,The Brew Wharf,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.3 miles'}, {'name': 'Cannon Street', 'distance': '0.5 miles'}]",Bermondsey and Old Southwark,SE1 9AA,27812,http://www.beerintheevening.com/pubs/s/27/27812/Brew_Wharf/London_Bridge,
60,"32 Lafone Street, Butlers Wharf, London Bridge, London, SE1 2LX",Riverside,,,[''],1498830865,51.5033052306211,-0.0748815710067715,Dean Swift,[],"[{'name': 'Tower Hill', 'distance': '0.5 miles'}, {'name': 'London Bridge', 'distance': '0.6 miles'}, {'name': 'Bermondsey', 'distance': '0.7 miles'}]",Bermondsey and Old Southwark,SE1 2LX,37977,http://www.beerintheevening.com/pubs/s/37/37977/Dean_Swift/London_Bridge,
