,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,keywords,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
10,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,2.0,6.5,[''],[],1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],[],Hackney South and Shoreditch,N1 3HT,42585,http://www.beerintheevening.com/pubs/s/42/42585/Hunter_S/London,
11,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,,,[''],[],1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],[],Hackney South and Shoreditch,N1 3HT,42574,http://www.beerintheevening.com/pubs/s/42/42574/Hunter_S/London,
12,"19 -23 Oxford Street, London, W1D 2DN",West End,6.0,4.8,[''],it's: 5;like: 2;don't: 2;basically: 2;club: 2;: 1;somehow: 1;astoria: 1;know: 1;name: 1;stage: 1;seem: 1;redeveloped: 1;place: 1;part: 1,1498830859,51.5161956498829,-0.131284014012088,The Metro Club,[],"[{'distance': '0 miles', 'name': 'Tottenham Court Road'}, {'distance': '0.4 miles', 'name': 'Goodge Street'}, {'distance': '0.4 miles', 'name': 'Leicester Square'}]",Cities of London and Westminster,W1D 2DN,31002,http://www.beerintheevening.com/pubs/s/31/31002/Metro_Club/London,
13,"194 Southgate Road, London, London, N1 3HT",De Beauvoir,,,[''],[],1498830859,51.5460536937361,-0.0835340238357815,The Hunter S,[],"[{'distance': '0.4 miles', 'name': 'Dalston Kingsland'}, {'distance': '0.5 miles', 'name': 'Canonbury'}, {'distance': '0.9 miles', 'name': 'Highbury and Islington'}]",Hackney South and Shoreditch,N1 3HT,42577,http://www.beerintheevening.com/pubs/s/42/42577/Hunter_S/London,
14,"452 Finchley Road, London, NW11 8DG",Childs Hill,3.0,6.7,"['Live music', 'TV', 'Karaoke', 'Sunday roast', 'Real ale', 'Cocktails', 'Outside seating', 'Dogs allowed', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Smoking area', 'Function room for hire', 'Wireless internet access']",[],1498830860,51.5631923335168,-0.19692324502207,The Castle,[],[],Finchley and Golders Green,NW11 8DG,38960,http://www.beerintheevening.com/pubs/s/38/38960/Castle/London,http://www.thecastlefinchleyroad.com
15,"194 Southgate Road, London, N1 3HT",De Beauvoir,,,[''],bar: 3;flipped: 1;tried: 1;make: 1;average: 1;awful: 1;error: 1;breath: 1;order: 1;point: 1;man: 1;totally: 1;comment: 1;bigoted: 1;scottish: 1,1498830860,51.5460536937361,-0.0835340238357815,The Hunter S,[],[],Hackney South and Shoreditch,N1 3HT,42565,http://www.beerintheevening.com/pubs/s/42/42565/Hunter_S/London,
16,"1 Harwood Terrace, Fulham, London, SW6 2AF",Parsons Green and Walham,6.0,7.8,"['Food served', 'Sunday roast', 'Real ale', 'Outside seating', 'Dogs allowed', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Smoking area', 'Function room for hire', 'Wireless internet access']",pub: 13;really: 11;us: 7;food: 6;good: 6;sunday: 6;new: 5;great: 5;lovely: 4;feel: 4;friendly: 4;rose: 4;lunch: 4;staff: 3;quite: 3,1498830860,51.4767112721636,-0.189866476859025,The Rose,[],[],Chelsea and Fulham,SW6 2AF,38958,http://www.beerintheevening.com/pubs/s/38/38958/Rose/London,
17,"Blackbird Hill, London, London, nw9 8rs",,1.0,7.0,[''],[],1498830860,,,Flyers Bar,[],[],,,45521,http://www.beerintheevening.com/pubs/s/45/45521/Flyers_Bar/London,
18,"148 Queen Victoria St, London, London, EC4V 4BY",Castle Baynard,21.0,6.6,"['TV', 'Sky TV', 'Big screen', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale', 'Late licence', 'Credit cards accepted', 'Cash machine', 'Function room for hire', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome']",place: 11;like: 10;beer: 9;good: 7;it's: 7;would: 6;food: 6;pub: 5;think: 5;bar: 5;design: 5;well: 5;nice: 4;friendly: 4;say: 4,1498830860,51.5122558154329,-0.101540826504797,The Cos Bar,[],"[{'distance': '0.1 miles', 'name': 'Blackfriars'}, {'distance': '0.3 miles', 'name': 'St. Pauls'}, {'distance': '0.4 miles', 'name': 'Mansion House'}]",Cities of London and Westminster,EC4V 4BY,29886,http://www.beerintheevening.com/pubs/s/29/29886/Cos_Bar/London,
19,"183 tottenham court road, Bloomsbury, london, w1t 7pe",,3.0,6.7,"['Live music', 'TV', 'Sky TV', 'Big screen', 'Karaoke (EVERY THURSDAY NIGHTS)', 'Food served', 'Gluten free meals available', 'Cocktails', 'Outside seating', 'Children allowed', 'Late licence', 'Credit cards accepted', 'Car park', 'Smoking area', 'Function room for hire', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome', 'Disabled access']",beer: 2;frank: 1;newsflash: 1;good: 1;question: 1;highly: 1;news: 1;go: 1;expect: 1;disappointed: 1;come: 1;sofas: 1;give: 1;test: 1;new: 1,1498830860,,,Bar @ TCR,[],[],,,38957,http://www.beerintheevening.com/pubs/s/38/38957/Bar_TCR/london,http://www.bar-tcr.co.uk
20,"27a Old Bailey, London, EC4M 7HS",,4.0,5.2,[''],bar: 5;staff: 5;good: 4;great: 4;informed: 3;one: 3;place: 3;nice: 3;food: 2;range: 2;atmosphere: 2;outside: 2;went: 2;see: 2;touch: 2,1498830860,,,Chambers Bar,[],"[{'distance': '0.2 miles', 'name': 'Blackfriars'}, {'distance': '0.2 miles', 'name': 'St. Pauls'}, {'distance': '0.4 miles', 'name': 'Farringdon'}]",,EC4M 7HS,5921,http://www.beerintheevening.com/pubs/s/59/5921/Chambers_Bar/City_Of_London,
21,"14 Lime Street, City of London, London, EC3M 7AN",Langbourn,,,[''],pub: 7;ordinary: 6;bar: 6;adnams: 4;leadenhall: 4;full: 4;grapes: 3;small: 3;room: 3;reasonable: 3;market: 3;london: 3;pint: 3;back: 3;nice: 3,1498830860,51.5122200781363,-0.0833113820366163,The Bunch of Grapes Inn,[],"[{'distance': '0.2 miles', 'name': 'Monument'}, {'distance': '0.3 miles', 'name': 'Bank'}, {'distance': '0.3 miles', 'name': 'Cannon Street'}]",Cities of London and Westminster,EC3M 7AN,37187,http://www.beerintheevening.com/pubs/s/37/37187/Bunch_of_Grapes_Inn/City_of_London,
22,"29 Lawrence Lane, London, EC2V 8DP",Cheap,27.0,6.2,"['Quiz night (Seats up to 110 for a quiz)', 'Live music', 'TV', 'Big screen', 'Karaoke', 'Pool table (Can be booked for private hire)', 'Dartboard', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale', 'Outside seating (Roof terrace)', 'Late licence', 'Credit cards accepted', 'Function room for hire (Free function room hire for 150)', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome']",pub: 7;city: 6;london: 5;good: 4;royal: 3;ipa: 3;got: 3;pleasant: 3;it�s: 3;way: 3;beer: 3;visit: 3;gk: 3;inside: 3;great: 3,1498830860,51.5143182291099,-0.0928652535448277,City Tavern,[],"[{'distance': '0.2 miles', 'name': 'Mansion House'}, {'distance': '0.2 miles', 'name': 'St. Pauls'}, {'distance': '0.2 miles', 'name': 'Bank'}]",Cities of London and Westminster,EC2V 8DP,13902,http://www.beerintheevening.com/pubs/s/13/13902/City_Tavern/City_Of_London,http://www.crazycowevents.co.uk/city_tavern_london
23,"700 Richmond St, London, Ontario, N6A 5C7 CANADA",,2.0,7.0,[''],[],1498830861,,,Molly Bloom's Irish Pub,[],[],,,11586,http://www.beerintheevening.com/pubs/s/11/11586/Molly_Blooms_Irish_Pub/London,
24,"360 Victoria Park Road, London, E9 7BT",Victoria,12.0,5.4,"['TV', 'Big screen', 'Pool table', 'Food served', 'Outside seating']",park: 12;good: 11;bit: 11;place: 11;beer: 9;pub: 8;garden: 8;food: 7;time: 6;though: 5;people: 5;well: 5;britannia: 5;like: 4;went: 4,1498830861,51.5392902224317,-0.0404704005856798,The Victoria Park,[],"[{'distance': '0.6 miles', 'name': 'Homerton'}, {'distance': '0.8 miles', 'name': 'Hackney Wick'}, {'distance': '0.9 miles', 'name': 'Hackney Central'}]",Hackney South and Shoreditch,E9 7BT,21868,http://www.beerintheevening.com/pubs/s/21/21868/Victoria_Park/London,
25,"202 Bishopsgate, City of London, London, EC2M 4NR",Bishopsgate,,,[''],good: 4;expensive: 2;beer: 2;well: 2;london: 2;barstaff: 1;restaurant: 1;walk: 1;food: 1;cigars: 1;downstairs: 1;eat: 1;dirty: 1;scotch: 1;place: 1,1498830861,51.5179526549008,-0.0797267595811896,Boisdale of Bishopsgate,[],"[{'distance': '0.1 miles', 'name': 'Liverpool Street'}, {'distance': '0.3 miles', 'name': 'Aldgate'}, {'distance': '0.4 miles', 'name': 'Aldgate East'}]",Cities of London and Westminster,EC2M 4NR,38644,http://www.beerintheevening.com/pubs/s/38/38644/Boisdale_of_Bishopsgate/City_of_London,
26,"62 Stamford Street, London, London, SE19LX",Cathedrals,,,[''],bar: 10;pub: 8;music: 8;one: 8;table: 7;good: 6;tables: 6;order: 6;ordering: 5;people: 5;concept: 4;see: 4;pay: 4;it's: 4;even: 4,1498830861,51.5072487608431,-0.107772429979434,The Thirsty Bear,[],"[{'distance': '0.3 miles', 'name': 'Southwark'}, {'distance': '0.4 miles', 'name': 'Waterloo'}, {'distance': '0.4 miles', 'name': 'Blackfriars'}]",Bermondsey and Old Southwark,SE19LX,42584,http://www.beerintheevening.com/pubs/s/42/42584/Thirsty_Bear/London,
27,"231 Long Lane, London, London, SE1 4PR",Grange,4.0,7.2,[''],[],1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],"[{'distance': '0.5 miles', 'name': 'London Bridge'}, {'distance': '0.5 miles', 'name': 'Borough'}, {'distance': '0.8 miles', 'name': 'Elephant and Castle'}]",Bermondsey and Old Southwark,SE1 4PR,42521,http://www.beerintheevening.com/pubs/s/42/42521/Simon_The_Tanner/London,
28,"34 Threadneedle Street, London, EC2R 8AY",Cornhill,6.0,2.3,['Real ale'],passed: 1;excellent: 1;pub: 1;exists: 1;although: 1;pissed: 1;boss: 1;toilets...and: 1;credit: 1;take: 1;great: 1;longer: 1;future: 1;night: 1,1498830861,51.5142045279385,-0.084784625944988,All Bar One,[],"[{'distance': '0.2 miles', 'name': 'Bank'}, {'distance': '0.3 miles', 'name': 'Monument'}, {'distance': '0.3 miles', 'name': 'Liverpool Street'}]",Cities of London and Westminster,EC2R 8AY,13935,http://www.beerintheevening.com/pubs/s/13/13935/All_Bar_One/City_Of_London,
29,"231 Long Lane, London, London, SE1 4PR",Grange,15.0,7.4,"['Quiz night', 'Live music', 'Food served', 'Sunday roast', 'Real ale', 'Dogs allowed', 'Children allowed', 'Credit cards accepted', 'Wireless internet access', 'Disabled access', 'Disabled toilet']",pub: 17;beer: 6;good: 6;food: 6;bar: 5;beers: 5;cask: 5;range: 5;head: 4;served: 4;place: 4;ales: 4;visit: 4;great: 4;long: 4,1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],"[{'distance': '0.5 miles', 'name': 'London Bridge'}, {'distance': '0.5 miles', 'name': 'Borough'}, {'distance': '0.8 miles', 'name': 'Elephant and Castle'}]",Bermondsey and Old Southwark,SE1 4PR,42512,http://www.beerintheevening.com/pubs/s/42/42512/Simon_The_Tanner/London,
30,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,5.0,[''],[],1498830861,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42545,http://www.beerintheevening.com/pubs/s/42/42545/Queens_Head/London,http://www.queensheadlondon.com
31,"17 Watling Street, London, EC4M 9BB",Cordwainer,12.0,6.5,[''],place: 9;like: 7;80s: 7;dance: 6;great: 6;go: 5;music: 4;don't: 4;friday: 3;city: 3;bar: 3;night: 3;80�s: 3;fun: 3;went: 2,1498830861,51.5130957995977,-0.0945592866532083,Reflex,[],"[{'distance': '0.1 miles', 'name': 'Mansion House'}, {'distance': '0.2 miles', 'name': 'St. Pauls'}, {'distance': '0.2 miles', 'name': 'Cannon Street'}]",Cities of London and Westminster,EC4M 9BB,27671,http://www.beerintheevening.com/pubs/s/27/27671/Reflex/London,
32,"231 Long Lane, London, London, SE1 4PR",Grange,4.0,7.8,[''],[],1498830861,51.4983060825296,-0.0831603949319309,Simon The Tanner,[],"[{'distance': '0.5 miles', 'name': 'London Bridge'}, {'distance': '0.5 miles', 'name': 'Borough'}, {'distance': '0.8 miles', 'name': 'Elephant and Castle'}]",Bermondsey and Old Southwark,SE1 4PR,42517,http://www.beerintheevening.com/pubs/s/42/42517/Simon_The_Tanner/London,
33,"Aldermary House, 10�15 Queen Street, London, EC4N 1TX",Cordwainer,27.0,3.9,[''],bar: 17;staff: 14;night: 13;drinks: 11;place: 10;go: 10;city: 10;time: 8;friday: 7;one: 7;friendly: 7;went: 6;last: 6;best: 6;hour: 6,1498830861,51.5129842516155,-0.092675963950737,Apt Bar,[],"[{'distance': '0.1 miles', 'name': 'Mansion House'}, {'distance': '0.2 miles', 'name': 'Cannon Street'}, {'distance': '0.2 miles', 'name': 'Bank'}]",Cities of London and Westminster,EC4N 1TX,24467,http://www.beerintheevening.com/pubs/s/24/24467/Apt_Bar/City_Of_London,
34,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,6.5,[''],[],1498830861,51.5486666617728,-0.094890766052379,The Queen's Head,[],[],Islington North,N5 2NH,42530,http://www.beerintheevening.com/pubs/s/42/42530/Queens_Head/London,http://www.queensheadlondon.com
35,"Rotherhithe Street, London, London, SE16 5LJ",Surrey Docks,,,[''],london: 4;bite: 2;rotherhithe: 2;nice: 2;bus: 2;locate: 1;2014: 1;sake: 1;pride: 1;permission: 1;shame: 1;place: 1;ship: 1;atmosphere: 1;chance: 1,1498830861,51.4987415428877,-0.0345020283924687,The Ship York,[],"[{'distance': '0.7 miles', 'name': 'Canada Water'}, {'distance': '0.7 miles', 'name': 'Surrey Quays'}, {'distance': '0.8 miles', 'name': 'Canary Wharf'}]",Bermondsey and Old Southwark,SE16 5LJ,41976,http://www.beerintheevening.com/pubs/s/41/41976/Ship_York/London,
36,"Hill House, Shoe Lane, London, EC4A 3BQ",Castle Baynard,8.0,4.5,[''],massage: 6;bar: 6;girl: 4;three: 2;drinks: 2;friday: 2;amount: 2;sometimes: 2;pub: 2;want: 2;loved: 2;essex: 2;city: 2;say: 2;work: 2,1498830862,51.516158675323,-0.106552824501769,Alibi,[],"[{'distance': '0.3 miles', 'name': 'Chancery Lane'}, {'distance': '0.3 miles', 'name': 'Farringdon'}, {'distance': '0.3 miles', 'name': 'Blackfriars'}]",Cities of London and Westminster,EC4A 3BQ,24120,http://www.beerintheevening.com/pubs/s/24/24120/Alibi/City_Of_London,
37,"66 Acton Street, London, London, London, N5 2NH",Mildmay,2.0,5.0,[''],[],1498830862,51.5486666617728,-0.094890766052379,The Queen's Head,[],"[{'distance': '0.1 miles', 'name': 'Canonbury'}, {'distance': '0.5 miles', 'name': 'Highbury and Islington'}, {'distance': '0.9 miles', 'name': 'Dalston Kingsland'}]",Islington North,N5 2NH,42520,http://www.beerintheevening.com/pubs/s/42/42520/Queens_Head/London,http://www.queensheadlondon.com
38,"30 St Mary Axe, London, London, EC3A 8BF",Aldgate,9.0,5.4,"['Food served', 'Cocktails', 'Children allowed', 'Credit cards accepted', 'Air conditioning', 'Disabled access', 'Disabled toilet']",get: 5;bar: 4;drinks: 3;machine: 3;back: 3;go: 3;place: 3;busy: 3;barman: 3;tray: 3;card: 2;started: 2;i'd: 2;cheap: 2;nice: 2,1498830862,51.5144845907307,-0.0804635303480853,The Sterling,[],"[{'distance': '0.2 miles', 'name': 'Aldgate'}, {'distance': '0.3 miles', 'name': 'Liverpool Street'}, {'distance': '0.4 miles', 'name': 'Aldgate East'}]",Cities of London and Westminster,EC3A 8BF,26547,http://www.beerintheevening.com/pubs/s/26/26547/Sterling/London,
39,"27 Lime Street, London, EC3M 7HR",Langbourn,,,[''],pub: 6;time: 4;area: 4;good: 4;place: 3;downstairs: 3;food: 2;like: 2;small: 2;quiet: 2;stopped: 2;staff: 2;friendly: 2;served: 2;office: 2,1498830863,51.5120254369332,-0.0835069047243965,The Ship Tavern,[],"[{'distance': '0.2 miles', 'name': 'Monument'}, {'distance': '0.3 miles', 'name': 'Bank'}, {'distance': '0.3 miles', 'name': 'Cannon Street'}]",Cities of London and Westminster,EC3M 7HR,34911,http://www.beerintheevening.com/pubs/s/34/34911/Ship_Tavern/City_of_London,
40,"100 Fenchurch Street, City of London, London, EC3M 5JD",Aldgate,,,[''],[],1498830863,51.5128456029855,-0.0786732788075276,Slug and Lettuce,[],"[{'distance': '0.2 miles', 'name': 'Aldgate'}, {'distance': '0.2 miles', 'name': 'Tower Hill'}, {'distance': '0.3 miles', 'name': 'Aldgate East'}]",Cities of London and Westminster,EC3M 5JD,37185,http://www.beerintheevening.com/pubs/s/37/37185/Slug_and_Lettuce/City_of_London,
41,"15 St Mary Avenue, City of London, London, EC3A 8AH",Lime Street,,,[''],still: 3;place: 2;lager: 2;went: 2;ordered: 2;people: 2;: 1;wonder: 1;surprised: 1;2: 1;evacuated: 1;minutes: 1;dead: 1;rubbish: 1;give: 1,1498830863,51.5143180615067,-0.0812776304539112,The Underwriter,[],"[{'distance': '0.3 miles', 'name': 'Liverpool Street'}, {'distance': '0.3 miles', 'name': 'Aldgate'}, {'distance': '0.3 miles', 'name': 'Bank'}]",Cities of London and Westminster,EC3A 8AH,32686,http://www.beerintheevening.com/pubs/s/32/32686/Underwriter/City_of_London,
42,"Dowgate Hill, City of London, London, EC4N 6AP",Dowgate,,,[''],[],1498830863,51.511263705943,-0.0902834605724133,Pelt Trader,[],"[{'distance': '0 miles', 'name': 'Cannon Street'}, {'distance': '0.2 miles', 'name': 'Bank'}, {'distance': '0.2 miles', 'name': 'Mansion House'}]",Cities of London and Westminster,EC4N 6AP,43214,http://www.beerintheevening.com/pubs/s/43/43214/Pelt_Trader/City_of_London,
43,"Tower 42, 25 Old Broad Street, London, EC2N 1HQ",Cornhill,6.0,6.0,['Cocktails'],place: 7;views: 6;london: 5;way: 5;great: 5;advance: 4;good: 4;like: 3;you'll: 3;best: 3;street: 3;book: 3;it's: 3;get: 3;can't: 3,1498830863,51.5152621480288,-0.0840196240555185,Vertigo 42,[],"[{'distance': '0.2 miles', 'name': 'Liverpool Street'}, {'distance': '0.3 miles', 'name': 'Bank'}, {'distance': '0.3 miles', 'name': 'Moorgate'}]",Cities of London and Westminster,EC2N 1HQ,11306,http://www.beerintheevening.com/pubs/s/11/11306/Vertigo_42/City_Of_London,
44,"26 Throgmorton Street, London, EC2N 2AN",Broad Street,25.0,6.2,"['TV', 'Quiz machines', 'Food served', 'Real ale', 'Cocktails', 'Late licence', 'Credit cards accepted', 'Smoking area (completely smoke-free pub)', 'Air conditioning', 'Coach parties welcome', 'Disabled access', 'Disabled toilet']",pub: 24;good: 10;smoke: 10;king: 7;city: 7;greene: 6;would: 6;nice: 6;great: 5;free: 5;it's: 5;pubs: 4;fairly: 4;people: 4;bit: 4,1498830863,51.5149630461705,-0.0860787761433638,The Phoenix,[],"[{'distance': '0.2 miles', 'name': 'Bank'}, {'distance': '0.3 miles', 'name': 'Liverpool Street'}, {'distance': '0.3 miles', 'name': 'Moorgate'}]",Cities of London and Westminster,EC2N 2AN,7490,http://www.beerintheevening.com/pubs/s/74/7490/Phoenix/City_Of_London,
45,"52 Threadneedle Street, City of London, London, EC2R 8AY",Cornhill,,,[''],[],1498830863,51.5142045279385,-0.084784625944988,Pacific Oriental,[],"[{'distance': '0.2 miles', 'name': 'Bank'}, {'distance': '0.3 miles', 'name': 'Monument'}, {'distance': '0.3 miles', 'name': 'Liverpool Street'}]",Cities of London and Westminster,EC2R 8AY,41381,http://www.beerintheevening.com/pubs/s/41/41381/Pacific_Oriental/City_of_London,
46,"2/4 Queens Head Passage, Paternoster Square, London, EC4M 7DZ",Bread Street,,,"['TV', 'Fruit machines', 'Quiz machines (itbox)', 'Food served', 'Real ale', 'Smoking area', 'Wireless internet access', 'Disabled access', 'Disabled toilet']",pub: 9;didn't: 7;well: 7;youngs: 6;bar: 6;would: 6;food: 6;like: 5;beer: 5;place: 5;kept: 5;one: 5;it's: 5;last: 4;pint: 4,1498830864,51.5150415291565,-0.0986433552950399,The Paternoster,[],"[{'distance': '0.1 miles', 'name': 'St. Pauls'}, {'distance': '0.3 miles', 'name': 'Blackfriars'}, {'distance': '0.3 miles', 'name': 'Mansion House'}]",Cities of London and Westminster,EC4M 7DZ,11676,http://www.beerintheevening.com/pubs/s/11/11676/Paternoster/City_Of_London,
47,"Part No.10 Aldermanbury, Love Lane, London, EC2V 7JQ",Bassishaw,13.0,4.9,"['TV', 'Food served', 'Wireless internet access (provided by The Cloud)']",pub: 11;good: 11;staff: 7;food: 6;like: 4;bar: 4;night: 4;ok: 4;screen: 4;drink: 3;last: 3;service: 3;cape: 3;it's: 3;big: 2,1498830864,51.5163879806338,-0.0940615668426549,The Prodigal,[],"[{'distance': '0.2 miles', 'name': 'St. Pauls'}, {'distance': '0.3 miles', 'name': 'Mansion House'}, {'distance': '0.3 miles', 'name': 'Moorgate'}]",Cities of London and Westminster,EC2V 7JQ,9138,http://www.beerintheevening.com/pubs/s/91/9138/Prodigal/City_Of_London,
48,"32 Old Bailey Street, London, EC4M 7BS",,4.0,6.2,['Function room for hire'],great: 3;friday: 2;dj: 2;different: 1;style: 1;name: 1;karaoke: 1;spot: 1;decor: 1;booths: 1;nice: 1;night: 1;changed: 1;fun: 1;bar: 1,1498830864,,,McGoverns,[],"[{'distance': '0.2 miles', 'name': 'St. Pauls'}, {'distance': '0.3 miles', 'name': 'Blackfriars'}, {'distance': '0.4 miles', 'name': 'Farringdon'}]",,EC4M 7BS,6048,http://www.beerintheevening.com/pubs/s/60/6048/McGoverns/City_Of_London,
49,"18 Old Bailey, London, EC4M 7EP",Farringdon Within,9.0,5.9,['Pool table'],pub: 4;went: 3;style: 3;good: 3;know: 2;big: 2;like: 2;don't: 2;recommended: 2;menu: 2;pool: 1;bailey: 1;4: 1;food: 1;lovely: 1,1498830864,51.515886105371,-0.102485266656678,The Magpie and Stump,[],"[{'distance': '0.3 miles', 'name': 'St. Pauls'}, {'distance': '0.3 miles', 'name': 'Blackfriars'}, {'distance': '0.4 miles', 'name': 'Farringdon'}]",Cities of London and Westminster,EC4M 7EP,25722,http://www.beerintheevening.com/pubs/s/25/25722/Magpie_and_Stump/City_Of_London,
