,address,admin_ward,bite_number_ratings,bite_user_rating,facilities,last_scraped,latitude,longitude,name,nearby_train_stations,nearby_tube_stations,parliamentary_constituency,postcode,source_pub_id,source_url,website
22,"29 Lawrence Lane, London, EC2V 8DP",,27.0,6.2,"['Quiz night (Seats up to 110 for a quiz)', 'Live music', 'TV', 'Big screen', 'Karaoke', 'Pool table (Can be booked for private hire)', 'Dartboard', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale', 'Outside seating (Roof terrace)', 'Late licence', 'Credit cards accepted', 'Function room for hire (Free function room hire for 150)', 'Wireless internet access', 'Air conditioning', 'Coach parties welcome']",1498830860,,,City Tavern,[],"[{'name': 'Mansion House', 'distance': '0.2 miles'}, {'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.2 miles'}]",,EC2V 8DP,13902,http://www.beerintheevening.com/pubs/s/13/13902/City_Tavern/City_Of_London,http://www.crazycowevents.co.uk/city_tavern_london
23,"700 Richmond St, London, Ontario, N6A 5C7 CANADA",,2.0,7.0,[''],1498830861,,,Molly Bloom's Irish Pub,[],[],,,11586,http://www.beerintheevening.com/pubs/s/11/11586/Molly_Blooms_Irish_Pub/London,
24,"360 Victoria Park Road, London, E9 7BT",,12.0,5.4,"['TV', 'Big screen', 'Pool table', 'Food served', 'Outside seating']",1498830861,,,The Victoria Park,[],"[{'name': 'Homerton', 'distance': '0.6 miles'}, {'name': 'Hackney Wick', 'distance': '0.8 miles'}, {'name': 'Hackney Central', 'distance': '0.9 miles'}]",,E9 7BT,21868,http://www.beerintheevening.com/pubs/s/21/21868/Victoria_Park/London,
25,"202 Bishopsgate, City of London, London, EC2M 4NR",,,,[''],1498830861,,,Boisdale of Bishopsgate,[],"[{'name': 'Liverpool Street', 'distance': '0.1 miles'}, {'name': 'Aldgate', 'distance': '0.3 miles'}, {'name': 'Aldgate East', 'distance': '0.4 miles'}]",,EC2M 4NR,38644,http://www.beerintheevening.com/pubs/s/38/38644/Boisdale_of_Bishopsgate/City_of_London,
26,"62 Stamford Street, London, London, SE19LX",,,,[''],1498830861,,,The Thirsty Bear,[],"[{'name': 'Southwark', 'distance': '0.3 miles'}, {'name': 'Waterloo', 'distance': '0.4 miles'}, {'name': 'Blackfriars', 'distance': '0.4 miles'}]",,SE19LX,42584,http://www.beerintheevening.com/pubs/s/42/42584/Thirsty_Bear/London,
27,"231 Long Lane, London, London, SE1 4PR",,4.0,7.2,[''],1498830861,,,Simon The Tanner,[],"[{'name': 'London Bridge', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Elephant and Castle', 'distance': '0.8 miles'}]",,SE1 4PR,42521,http://www.beerintheevening.com/pubs/s/42/42521/Simon_The_Tanner/London,
28,"34 Threadneedle Street, London, EC2R 8AY",,6.0,2.3,['Real ale'],1498830861,,,All Bar One,[],"[{'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Monument', 'distance': '0.3 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}]",,EC2R 8AY,13935,http://www.beerintheevening.com/pubs/s/13/13935/All_Bar_One/City_Of_London,
29,"231 Long Lane, London, London, SE1 4PR",,15.0,7.4,"['Quiz night', 'Live music', 'Food served', 'Sunday roast', 'Real ale', 'Dogs allowed', 'Children allowed', 'Credit cards accepted', 'Wireless internet access', 'Disabled access', 'Disabled toilet']",1498830861,,,Simon The Tanner,[],"[{'name': 'London Bridge', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Elephant and Castle', 'distance': '0.8 miles'}]",,SE1 4PR,42512,http://www.beerintheevening.com/pubs/s/42/42512/Simon_The_Tanner/London,
30,"66 Acton Street, London, London, London, N5 2NH",,2.0,5.0,[''],1498830861,,,The Queen's Head,[],[],,N5 2NH,42545,http://www.beerintheevening.com/pubs/s/42/42545/Queens_Head/London,http://www.queensheadlondon.com
31,"17 Watling Street, London, EC4M 9BB",,12.0,6.5,[''],1498830861,,,Reflex,[],"[{'name': 'Mansion House', 'distance': '0.1 miles'}, {'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Cannon Street', 'distance': '0.2 miles'}]",,EC4M 9BB,27671,http://www.beerintheevening.com/pubs/s/27/27671/Reflex/London,
32,"231 Long Lane, London, London, SE1 4PR",,4.0,7.8,[''],1498830861,,,Simon The Tanner,[],"[{'name': 'London Bridge', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Elephant and Castle', 'distance': '0.8 miles'}]",,SE1 4PR,42517,http://www.beerintheevening.com/pubs/s/42/42517/Simon_The_Tanner/London,
33,"Aldermary House, 10�15 Queen Street, London, EC4N 1TX",,27.0,3.9,[''],1498830861,,,Apt Bar,[],"[{'name': 'Mansion House', 'distance': '0.1 miles'}, {'name': 'Cannon Street', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.2 miles'}]",,EC4N 1TX,24467,http://www.beerintheevening.com/pubs/s/24/24467/Apt_Bar/City_Of_London,
34,"66 Acton Street, London, London, London, N5 2NH",,2.0,6.5,[''],1498830861,,,The Queen's Head,[],[],,N5 2NH,42530,http://www.beerintheevening.com/pubs/s/42/42530/Queens_Head/London,http://www.queensheadlondon.com
35,"Rotherhithe Street, London, London, SE16 5LJ",,,,[''],1498830861,,,The Ship York,[],"[{'name': 'Canada Water', 'distance': '0.7 miles'}, {'name': 'Surrey Quays', 'distance': '0.7 miles'}, {'name': 'Canary Wharf', 'distance': '0.8 miles'}]",,SE16 5LJ,41976,http://www.beerintheevening.com/pubs/s/41/41976/Ship_York/London,
36,"Hill House, Shoe Lane, London, EC4A 3BQ",,8.0,4.5,[''],1498830862,,,Alibi,[],"[{'name': 'Chancery Lane', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.3 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}]",,EC4A 3BQ,24120,http://www.beerintheevening.com/pubs/s/24/24120/Alibi/City_Of_London,
37,"66 Acton Street, London, London, London, N5 2NH",,2.0,5.0,[''],1498830862,,,The Queen's Head,[],"[{'name': 'Canonbury', 'distance': '0.1 miles'}, {'name': 'Highbury and Islington', 'distance': '0.5 miles'}, {'name': 'Dalston Kingsland', 'distance': '0.9 miles'}]",,N5 2NH,42520,http://www.beerintheevening.com/pubs/s/42/42520/Queens_Head/London,http://www.queensheadlondon.com
38,"30 St Mary Axe, London, London, EC3A 8BF",,9.0,5.4,"['Food served', 'Cocktails', 'Children allowed', 'Credit cards accepted', 'Air conditioning', 'Disabled access', 'Disabled toilet']",1498830862,,,The Sterling,[],"[{'name': 'Aldgate', 'distance': '0.2 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}, {'name': 'Aldgate East', 'distance': '0.4 miles'}]",,EC3A 8BF,26547,http://www.beerintheevening.com/pubs/s/26/26547/Sterling/London,
39,"27 Lime Street, London, EC3M 7HR",,,,[''],1498830863,,,The Ship Tavern,[],"[{'name': 'Monument', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}, {'name': 'Cannon Street', 'distance': '0.3 miles'}]",,EC3M 7HR,34911,http://www.beerintheevening.com/pubs/s/34/34911/Ship_Tavern/City_of_London,
40,"100 Fenchurch Street, City of London, London, EC3M 5JD",,,,[''],1498830863,,,Slug and Lettuce,[],"[{'name': 'Aldgate', 'distance': '0.2 miles'}, {'name': 'Tower Hill', 'distance': '0.2 miles'}, {'name': 'Aldgate East', 'distance': '0.3 miles'}]",,EC3M 5JD,37185,http://www.beerintheevening.com/pubs/s/37/37185/Slug_and_Lettuce/City_of_London,
41,"15 St Mary Avenue, City of London, London, EC3A 8AH",,,,[''],1498830863,,,The Underwriter,[],"[{'name': 'Liverpool Street', 'distance': '0.3 miles'}, {'name': 'Aldgate', 'distance': '0.3 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}]",,EC3A 8AH,32686,http://www.beerintheevening.com/pubs/s/32/32686/Underwriter/City_of_London,
42,"Dowgate Hill, City of London, London, EC4N 6AP",,,,[''],1498830863,,,Pelt Trader,[],"[{'name': 'Cannon Street', 'distance': '0 miles'}, {'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Mansion House', 'distance': '0.2 miles'}]",,EC4N 6AP,43214,http://www.beerintheevening.com/pubs/s/43/43214/Pelt_Trader/City_of_London,
43,"Tower 42, 25 Old Broad Street, London, EC2N 1HQ",,6.0,6.0,['Cocktails'],1498830863,,,Vertigo 42,[],"[{'name': 'Liverpool Street', 'distance': '0.2 miles'}, {'name': 'Bank', 'distance': '0.3 miles'}, {'name': 'Moorgate', 'distance': '0.3 miles'}]",,EC2N 1HQ,11306,http://www.beerintheevening.com/pubs/s/11/11306/Vertigo_42/City_Of_London,
44,"26 Throgmorton Street, London, EC2N 2AN",,25.0,6.2,"['TV', 'Quiz machines', 'Food served', 'Real ale', 'Cocktails', 'Late licence', 'Credit cards accepted', 'Smoking area (completely smoke-free pub)', 'Air conditioning', 'Coach parties welcome', 'Disabled access', 'Disabled toilet']",1498830863,,,The Phoenix,[],"[{'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}, {'name': 'Moorgate', 'distance': '0.3 miles'}]",,EC2N 2AN,7490,http://www.beerintheevening.com/pubs/s/74/7490/Phoenix/City_Of_London,
45,"52 Threadneedle Street, City of London, London, EC2R 8AY",,,,[''],1498830863,,,Pacific Oriental,[],"[{'name': 'Bank', 'distance': '0.2 miles'}, {'name': 'Monument', 'distance': '0.3 miles'}, {'name': 'Liverpool Street', 'distance': '0.3 miles'}]",,EC2R 8AY,41381,http://www.beerintheevening.com/pubs/s/41/41381/Pacific_Oriental/City_of_London,
46,"2/4 Queens Head Passage, Paternoster Square, London, EC4M 7DZ",,,,"['TV', 'Fruit machines', 'Quiz machines (itbox)', 'Food served', 'Real ale', 'Smoking area', 'Wireless internet access', 'Disabled access', 'Disabled toilet']",1498830864,,,The Paternoster,[],"[{'name': 'St. Pauls', 'distance': '0.1 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Mansion House', 'distance': '0.3 miles'}]",,EC4M 7DZ,11676,http://www.beerintheevening.com/pubs/s/11/11676/Paternoster/City_Of_London,
47,"Part No.10 Aldermanbury, Love Lane, London, EC2V 7JQ",,13.0,4.9,"['TV', 'Food served', 'Wireless internet access (provided by The Cloud)']",1498830864,,,The Prodigal,[],"[{'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Mansion House', 'distance': '0.3 miles'}, {'name': 'Moorgate', 'distance': '0.3 miles'}]",,EC2V 7JQ,9138,http://www.beerintheevening.com/pubs/s/91/9138/Prodigal/City_Of_London,
48,"32 Old Bailey Street, London, EC4M 7BS",,4.0,6.2,['Function room for hire'],1498830864,,,McGoverns,[],"[{'name': 'St. Pauls', 'distance': '0.2 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4M 7BS,6048,http://www.beerintheevening.com/pubs/s/60/6048/McGoverns/City_Of_London,
49,"18 Old Bailey, London, EC4M 7EP",,9.0,5.9,['Pool table'],1498830864,,,The Magpie and Stump,[],"[{'name': 'St. Pauls', 'distance': '0.3 miles'}, {'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4M 7EP,25722,http://www.beerintheevening.com/pubs/s/25/25722/Magpie_and_Stump/City_Of_London,
50,"49 Chiswell Street, City of London, London, EC1Y 4SA",,,,[''],1498830864,,,The Jugged Hare,[],"[{'name': 'Moorgate', 'distance': '0.2 miles'}, {'name': 'Barbican', 'distance': '0.3 miles'}, {'name': 'Old Street', 'distance': '0.4 miles'}]",,EC1Y 4SA,44215,http://www.beerintheevening.com/pubs/s/44/44215/Jugged_Hare/City_of_London,
51,"12 Ludgate Circus, London, EC4M 7LQ",,4.0,6.0,"['Food served', 'Real ale']",1498830864,,,Hog's Head,[],"[{'name': 'Blackfriars', 'distance': '0.2 miles'}, {'name': 'St. Pauls', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4M 7LQ,13204,http://www.beerintheevening.com/pubs/s/13/13204/Hogs_Head/City_Of_London,
52,"80 Farringdon Street, London, EC4A 4BL",,80.0,3.5,"['TV', 'Big screen', 'Food served', 'Real ale', 'Outside seating (2 outdoor areas)', 'Credit cards accepted', 'Function room for hire (7 days a week)', 'Air conditioning', 'Coach parties welcome']",1498830864,,,The Hoop and Grapes,[],"[{'name': 'Blackfriars', 'distance': '0.3 miles'}, {'name': 'Chancery Lane', 'distance': '0.3 miles'}, {'name': 'Farringdon', 'distance': '0.4 miles'}]",,EC4A 4BL,6131,http://www.beerintheevening.com/pubs/s/61/6131/Hoop_and_Grapes/City_Of_London,
53,"8, Bedale St, London, SE1 9AL",,,,"['Sky TV', 'Dartboard', 'Fruit machines', 'Quiz machines', 'Food served', 'Real ale (London Pride', 'Adnams and Youngs)', 'Outside seating']",1498830865,,,The Globe,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.4 miles'}, {'name': 'Monument', 'distance': '0.4 miles'}]",,SE1 9AL,1358,http://www.beerintheevening.com/pubs/s/13/1358/Globe/London_Bridge,
54,"251, Tooley St, London, SE1 2JX",,22.0,6.3,['Food served'],1498830865,,,The Kings Arms,[],"[{'name': 'London Bridge', 'distance': '0.6 miles'}, {'name': 'Tower Hill', 'distance': '0.6 miles'}, {'name': 'Bermondsey', 'distance': '0.6 miles'}]",,SE1 2JX,7574,http://www.beerintheevening.com/pubs/s/75/7574/Kings_Arms/London_Bridge,
55,"26 Melior Street, London, SE1 3QP",,,,"['TV', 'Big screen', 'Dartboard', 'Food served', 'Sunday roast', 'Real ale', 'Outside seating', 'Credit cards accepted', 'Function room for hire']",1498830865,,,The Horseshoe Inn,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}, {'name': 'Monument', 'distance': '0.6 miles'}]",,SE1 3QP,14422,http://www.beerintheevening.com/pubs/s/14/14422/Horseshoe_Inn/London_Bridge,
56,"77 Borough High Street, London, SE1 1NH",,,,"['Real ale', 'Outside seating']",1498830865,,,The George,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.3 miles'}, {'name': 'Monument', 'distance': '0.5 miles'}]",,SE1 1NH,434,http://www.beerintheevening.com/pubs/s/43/434/George/London_Bridge,
57,"Chaucer House, White Hart Yard, London, SE1 1NX",,8.0,3.6,"['Food served', 'Outside seating']",1498830865,,,The Heeltap and Bumper,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.3 miles'}, {'name': 'Monument', 'distance': '0.5 miles'}]",,SE1 1NX,25571,http://www.beerintheevening.com/pubs/s/25/25571/Heeltap_and_Bumper/London_Bridge,
58,"99 Bermondsey Street, Bermondsey, London, SE1 3XB",,17.0,5.2,"['Food served', 'Cocktails']",1498830865,,,The Garrison,[],"[{'name': 'London Bridge', 'distance': '0.4 miles'}, {'name': 'Borough', 'distance': '0.6 miles'}, {'name': 'Tower Hill', 'distance': '0.7 miles'}]",,SE1 3XB,5337,http://www.beerintheevening.com/pubs/s/53/5337/Garrison/London_Bridge,
59,"1 Stoney Street, London, SE1 9AA",,64.0,3.2,['Food served'],1498830865,,,The Brew Wharf,[],"[{'name': 'London Bridge', 'distance': '0.2 miles'}, {'name': 'Borough', 'distance': '0.3 miles'}, {'name': 'Cannon Street', 'distance': '0.5 miles'}]",,SE1 9AA,27812,http://www.beerintheevening.com/pubs/s/27/27812/Brew_Wharf/London_Bridge,
60,"32 Lafone Street, Butlers Wharf, London Bridge, London, SE1 2LX",,,,[''],1498830865,,,Dean Swift,[],"[{'name': 'Tower Hill', 'distance': '0.5 miles'}, {'name': 'London Bridge', 'distance': '0.6 miles'}, {'name': 'Bermondsey', 'distance': '0.7 miles'}]",,SE1 2LX,37977,http://www.beerintheevening.com/pubs/s/37/37977/Dean_Swift/London_Bridge,
61,"2, St. Thomas St, London, SE1 9RS",,,,"['Food served (home-made)', 'Real ale', 'Outside seating (cosy beer garden at rear)', 'Wireless internet access (provided by The Cloud)']",1498830866,,,The Bunch of Grapes,[],"[{'name': 'London Bridge', 'distance': '0.1 miles'}, {'name': 'Borough', 'distance': '0.4 miles'}, {'name': 'Monument', 'distance': '0.5 miles'}]",,SE1 9RS,4920,http://www.beerintheevening.com/pubs/s/49/4920/Bunch_of_Grapes/London_Bridge,
62,"48/50 Tooley Street, London Bridge, London, SE1 2SZ",Riverside,,,[''],1498830866,51.505030381561,-0.0846794064852038,Cooperage,[],"[{'name': 'London Bridge', 'distance': '0.1 miles'}, {'name': 'Monument', 'distance': '0.4 miles'}, {'name': 'Borough', 'distance': '0.4 miles'}]",Bermondsey and Old Southwark,SE1 2SZ,33564,http://www.beerintheevening.com/pubs/s/33/33564/Cooperage/London_Bridge,
63,"10-18, London Bridge St, London, SE1 9SG",,8.0,4.8,[''],1498830866,,,The Borough Bar and Dining,[],"[{'name': 'London Bridge', 'distance': '0.1 miles'}, {'name': 'Borough', 'distance': '0.4 miles'}, {'name': 'Monument', 'distance': '0.4 miles'}]",,SE1 9SG,7913,http://www.beerintheevening.com/pubs/s/79/7913/Borough_Bar_and_Dining/London_Bridge,
64,"111 High Street, London Colney, St Albans, Hertfordshire, AL2 1RG",,,,[''],1498830866,,,The Golden Lion,[],[],,AL2 1RG,39874,http://www.beerintheevening.com/pubs/s/39/39874/Golden_Lion/London_Colney,
65,"Waterside, London Colney, Hertfordshire, AL2 1RB",,,,[''],1498830866,,,The Green Dragon,[],[],,AL2 1RB,37169,http://www.beerintheevening.com/pubs/s/37/37169/Green_Dragon/London_Colney,
66,"Barnet Rd, London Colney, St Albans, Hertfordshire, AL2 1QU",,19.0,6.6,"['Sky TV', 'Jukebox', 'Karaoke (Saturdays once a month)', 'Pool table (Pool Team)', 'Dartboard (Darts Team)', 'Fruit machines', 'Food served (Lunches 12-3. Curry night weds. Once a month)', 'Real ale', 'Outside seating (Secluded beer garden)', 'Dogs allowed', 'Children allowed (In the garden Play area)', 'Credit cards accepted', 'Car park']",1498830867,,,The Bull,[],[],,AL2 1QU,21354,http://www.beerintheevening.com/pubs/s/21/21354/Bull/London_Colney,
67,"Airside, Royal Docks, Newham, London, E16 2PX",,,,[''],1498830867,,,Trattoria Bar,[],"[{'name': 'Silvertown', 'distance': '0.2 miles'}, {'name': 'North Woolwich', 'distance': '0.8 miles'}]",,E16 2PX,35784,http://www.beerintheevening.com/pubs/s/35/35784/Trattoria_Bar/London_City_Airport,
68,"Unit 1, London Bridge Station, Railway Approach, London, SE1 9SP",,,,"['Fruit machines', 'Quiz machines (Millionaire)']",1498830867,,,The Oast House,[],"[{'name': 'London Bridge', 'distance': '0 miles'}, {'name': 'Monument', 'distance': '0.5 miles'}, {'name': 'Borough', 'distance': '0.5 miles'}]",,SE1 9SP,244,http://www.beerintheevening.com/pubs/s/24/244/Oast_House/London_Bridge_Station,
69,"Airside, Royal Docks, Newham, London, E16 2PX",,,,[''],1498830867,,,Bar Ten 28,[],"[{'name': 'Silvertown', 'distance': '0.2 miles'}, {'name': 'North Woolwich', 'distance': '0.8 miles'}]",,E16 2PX,35785,http://www.beerintheevening.com/pubs/s/35/35785/Bar_Ten_28/London_City_Airport,
